file,y_tc_mean,ntc_mean,A_rms,B_rms,C_rms,D_rms,U_A,U_B,U_C,U_D,R_AB,R_AC,R_AD,R_BC,R_BD,R_CD
J2-T115-I3 Tp 4_Processed.unv,115.54686737060548,74.79126825262324,2.587846875190735,2.5652315616607666,2.591446876525879,2.6456345319747925,-0.01247241909870933,-0.0029616310357032383,-0.005785058747833194,0.021609445660861315,4.211334547872794,2.155971035450747,-0.5771744122663535,0.5119448504844525,-0.13705261496213655,-0.2677097246557787
J2-T120-I1 Tp 4_Processed.unv,121.10936737060548,37.02444165073933,2.5670700073242188,2.539530038833618,2.5642393827438354,2.6452149152755737,-0.033249286965225444,-0.028663153862851676,-0.03299255252987665,0.021189828961642565,1.1600009937607576,1.007781587529983,-1.5691154008563584,0.8687764863568996,-1.352684531561684,-1.5569994731717351
J2-T120-I2 Tp 4_Processed.unv,121.2552007039388,54.40949340988704,2.6000605821609497,2.5528807640075684,2.6059902906417847,2.6887850761413574,-0.0002587121284944871,-0.01531242868890148,0.008758355368072568,0.06475998982742626,0.01689556462600886,-0.029538893733130324,-0.003994937756845059,-1.748322378505093,-0.23644890509875546,0.13524330981848534
J2-T120-I3 Tp 4_Processed.unv,121.1614507039388,69.80117663175743,2.6019963026046757,2.565633535385132,2.605049729347229,2.670121908187866,0.001677008315231543,-0.002559657311338004,0.007817794073516904,0.046096821873935045,-0.6551690758771627,0.21451170233716912,0.03638012876067253,-0.3274142663860829,-0.05552784784899314,0.16959507739811
J2-T125-I1 Tp 4_Processed.unv,125.8645757039388,33.15017379245882,2.563002824783325,2.538149833679199,2.563375234603882,2.651289820671081,-0.037316469506119,-0.03004335901727062,-0.033856700669830264,0.027264734357149933,1.2420871276300158,1.1021885998292722,-1.3686716700517967,0.8873681848167292,-1.1019127721445054,-1.2417762897055935
J2-T125-I2 Tp 4_Processed.unv,126.15624237060548,53.11673224319837,2.59176242351532,2.544900894165039,2.600477814674377,2.6939035654067998,-0.00855687077412437,-0.023292298531430777,0.0032458794006648972,0.0698784790928686,0.3673691011034258,-2.6362257243357687,-0.12245359208165188,-7.1759593183466714,-0.3333257797508054,0.046450344123132946
J2-T125-I3 Tp 4_Processed.unv,126.3489507039388,70.75985760430095,2.591966032981873,2.5556554794311523,2.5979251861572266,2.669752240180969,-0.008353261307571191,-0.012537713265317496,0.0006932508835144624,0.04572715386703763,0.6662507851952905,-12.049405931116896,-0.18267616943447318,-18.085390965182864,-0.27418529702884686,0.015160595508092437
J2-T130-I1 Tp 4_Processed.unv,130.93229166666666,38.35312710183691,2.5721980333328247,2.549311399459839,2.577396869659424,2.649255156517029,-0.028121260956619487,-0.018881793236630973,-0.019835065614288272,0.025230070203097643,1.4893321097311776,1.4177548742950574,-1.114593052268514,0.9519400441523821,-0.7483844905953827,-0.7861676743116238
J2-T130-I2 Tp 4_Processed.unv,131.10416666666666,58.84402279285919,2.6138153076171875,2.572729468345642,2.630114197731018,2.7037153244018555,0.013496013327743306,0.00453627564917225,0.032882262457305966,0.0796902380879243,2.975130783819535,0.4104344506484737,0.16935591675423037,0.137955095245107,0.05692385614618518,0.4126259783667118
J2-T130-I3 Tp 4_Processed.unv,131.18229166666666,75.63549018054043,2.614914655685425,2.5809218883514404,2.6243852376937866,2.684921622276306,0.01459536139598061,0.01272869565497059,0.02715330242007452,0.06089653596237499,1.1466501982299406,0.5375169903897293,0.23967473954509294,0.46877154970145457,0.20902167017899068,0.44589239750601295
J2-T70-I1 Tp 4_Processed.unv,71.8645757039388,54.98914416510761,2.531797766685486,2.5243107080459595,2.531707644462585,2.546794891357422,-0.06852152760395835,-0.04388248465051037,-0.0655242908111271,-0.07723019495650929,1.5614778458803933,1.0457423766931069,0.8872375324514582,0.6697132331733441,0.5682037275086765,0.8484284009385946
J2-T70-I2 Tp 4_Processed.unv,71.9739507039388,57.10354284814305,2.53179669380188,2.52581524848938,2.531450867652893,2.544480681419373,-0.06852260048756431,-0.04237794420708996,-0.06578106762081903,-0.07954440489455816,1.6169401741791023,1.041676624687034,0.8614383447634809,0.644227066233838,0.532758328675222,0.8269729053604282
J2-T70-I3 Tp 4_Processed.unv,72.31249237060547,60.21702783527688,2.5301427841186523,2.526771903038025,2.5301345586776733,2.539204955101013,-0.07017651017079185,-0.04142128965844494,-0.06709737659603876,-0.08482013121291798,1.694213549347668,1.045890521074931,0.8273567744741247,0.617330986095369,0.48834267368047335,0.7910548549802282
